Name,Energy (kcal),Protein,Carbohydrate,Fiber,Fat,Cholesterol,has_protein,has_carbs,has_fiber,has_cholesterol
"Frozen yogurt, NFS",127,3,21.6,0,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, vanilla",127,3,21.6,0,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, chocolate",131,3,21.6,2.3,3.6,13,Low,Medium,Low,Low
"Frozen yogurt, soft serve, vanilla",159,4,24.2,0,5.6,2,Low,Medium,Low,Low
"Frozen yogurt, soft serve, chocolate",160,4.31,24.87,0.7,5.76,2,Low,Medium,Low,Low
Frozen yogurt sandwich,204,3.9,34.38,0.8,6.25,10,Low,Medium,Low,Low
"Frozen yogurt bar, vanilla",127,3,21.6,0,3.6,13,Low,Medium,Low,Low
"Frozen yogurt bar, chocolate",131,3,21.6,2.3,3.6,13,Low,Medium,Low,Low
"Frozen yogurt cone, chocolate",142,3.2,23.9,2.3,3.73,12,Low,Medium,Low,Low
"Frozen yogurt cone, vanilla",139,3.2,23.9,0.1,3.73,12,Low,Medium,Low,Low
"Frozen yogurt cone, vanilla, waffle cone",143,3.29,25.28,0.1,3.61,12,Low,Medium,Low,Low
"Frozen yogurt cone, chocolate, waffle cone",147,3.29,25.28,2.3,3.61,12,Low,Medium,Low,Low
"Baby Toddler food, NFS",75,4.9,9.08,1.1,2.15,18,Low,Low,Low,Low
"Baby Toddler yogurt, plain",78,3.82,5.57,0,4.48,14,Low,Low,Low,Low
"Baby Toddler yogurt, with fruit",98,3.48,11.9,0.1,4.04,13,Low,Low,Low,Low
"Chocolate milk, NFS",65,3.44,10.98,0.1,0.83,4,Low,Low,Low,Low
"Chocolate milk, whole",83,3.17,10.34,0.8,3.39,12,Low,Low,Low,Low
"Chocolate milk, reduced fat (2%)",76,2.99,12.13,0.7,1.9,8,Low,Low,Low,Low
"Chocolate milk, fat free (skim)",67,3.39,13.46,0,0,2,Low,Low,Low,Low
"Chocolate milk, low fat (1%)",64,3.46,10.15,0.1,1.11,5,Low,Low,Low,Low
"Chocolate milk, reduced sugar, NFS",65,3.09,8.56,0,1.99,8,Low,Low,Low,Low
"Hot chocolate / cocoa, NFS",72,1.82,13.9,0.2,1.04,3,Low,Low,Low,Low
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",91,2.73,16.53,0,1.54,7,Low,Low,Low,Low
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",78,2.79,16.55,0,0.06,2,Low,Low,Low,Low
"Hot chocolate / cocoa, made with non-dairy milk",76,0.93,15.02,0.1,1.3,0,Low,Low,Low,Low
"Hot chocolate / cocoa, with whipped cream",101,2.7,16.25,0,2.8,10,Low,Low,Low,Low
